Types,.model,t,Number,.mean,Air_Temperature,Precipitation,Virtual_Temperature,Wind_Speed
Bikes,ARIMA,864,"N(5, 0.048)",5,5,0,5,1.4
Bikes,ARIMA,865,"N(5, 0.095)",5,4.6,0,4.6,0.4
Bikes,ARIMA,866,"N(5, 0.14)",5,4.8,0,4.8,0.7
Bikes,ARIMA,867,"N(5, 0.19)",5,5.8,0,5.8,2.2
Bikes,ARIMA,868,"N(5, 0.24)",5,4.8,0,4.8,5.4
Bikes,ARIMA,869,"N(5, 0.29)",5,4.8,0,4.8,4.7
Bikes,ARIMA,870,"N(5, 0.33)",5,4.7,0,4.7,3.6
Bikes,ARIMA,871,"N(5, 0.38)",5,6.2,0,6.2,2.9
Bikes,ARIMA,872,"N(5, 0.43)",5,6,0,6,2.9
Bikes,ARIMA,873,"N(5, 0.48)",5,4.8,0,4.8,2.2
Bikes,ARIMA,874,"N(5, 0.52)",5,4.3,0,4.3,2.5
Bikes,ARIMA,875,"N(5, 0.57)",5,4.8,0,4.8,1.4
Bikes,ARIMA,876,"N(5, 0.62)",5,5.3,0,5.3,0.7
Bikes,ARIMA,877,"N(5, 0.67)",5,3.7,0,3.7,0
Bikes,ARIMA,878,"N(5, 0.71)",5,4.9,0,4.9,1.4
Bikes,ARIMA,879,"N(5, 0.76)",5,4.8,0,4.8,2.9
Bikes,ARIMA,880,"N(5, 0.81)",5,5,0,5,3.6
Bikes,ARIMA,881,"N(5, 0.86)",5,5,0,5,2.9
Bikes,ARIMA,882,"N(5, 0.9)",5,5.6,0,5.6,0.4
Bikes,ARIMA,883,"N(5, 0.95)",5,4.4,0,4.4,1.1
Bikes,ARIMA,884,"N(5, 1)",5,4,0,4,1.8
Bikes,ARIMA,885,"N(5, 1)",5,3.8,0,3.8,1.1
Bikes,ARIMA,886,"N(5, 1.1)",5,2.8,0,2.8,1.1
Bikes,ARIMA,887,"N(5, 1.1)",5,4,0,4,1.8
Bikes,ARIMA,888,"N(5, 1.2)",5,3.7,0,3.7,1.4
Bikes,ARIMA,889,"N(5, 1.2)",5,3.7,0,3.7,2.5
Bikes,ARIMA,890,"N(5, 1.3)",5,3.2,0,3.2,2.5
Bikes,ARIMA,891,"N(5, 1.3)",5,3.6,0,3.6,1.1
Bikes,ARIMA,892,"N(5, 1.4)",5,4.2,0,4.2,1.4
Bikes,ARIMA,893,"N(5, 1.4)",5,4.2,0,4.2,2.9
Bikes,ARIMA,894,"N(5, 1.5)",5,4.5,0,4.5,1.8
Bikes,ARIMA,895,"N(5, 1.5)",5,4.9,0,4.9,2.9
Bikes,ARIMA,896,"N(5, 1.6)",5,5.2,0,5.2,2.2
Bikes,ARIMA,897,"N(5, 1.6)",5,5.4,0,5.4,2.9
Bikes,ARIMA,898,"N(5, 1.7)",5,5.9,0,5.9,2.9
Bikes,ARIMA,899,"N(5, 1.7)",5,6.2,0,6.2,4.3
Bikes,ARIMA,900,"N(5, 1.8)",5,6.7,0,6.7,2.9
Bikes,ARIMA,901,"N(5, 1.8)",5,7.3,0,7.3,2.5
Bikes,ARIMA,902,"N(5, 1.9)",5,7.7,0,7.7,4.7
Bikes,ARIMA,903,"N(5, 1.9)",5,8.1,0,8.1,8.3
Bikes,ARIMA,904,"N(5, 2)",5,8.6,0,8.6,7.2
Bikes,ARIMA,905,"N(5, 2)",5,8.9,0,8.9,6.8
Bikes,ARIMA,906,"N(5, 2)",5,9.2,0,9.2,7.2
Bikes,ARIMA,907,"N(5, 2.1)",5,9.5,0,9.5,4.7
Bikes,ARIMA,908,"N(5, 2.1)",5,10.2,0,10.2,6.8
Bikes,ARIMA,909,"N(5, 2.2)",5,10.5,0,10.5,6.5
Bikes,ARIMA,910,"N(5, 2.2)",5,10.8,0,10.8,7.6
Bikes,ARIMA,911,"N(5, 2.3)",5,11.2,0,11.2,4.7
Bikes,ARIMA,912,"N(5, 2.3)",5,11.6,0,11.6,6.1
Bikes,ARIMA,913,"N(5, 2.4)",5,11.8,0,11.8,4.7
Bikes,ARIMA,914,"N(5, 2.4)",5,12.2,0,12.2,2.9
Bikes,ARIMA,915,"N(5, 2.5)",5,12.8,0,12.8,2.9
Bikes,ARIMA,916,"N(5, 2.5)",5,12.8,0,12.8,3.2
Bikes,ARIMA,917,"N(5, 2.6)",5,13.8,0,13.8,2.5
Bikes,ARIMA,918,"N(5, 2.6)",5,14,0,14,4
Bikes,ARIMA,919,"N(5, 2.7)",5,13.8,0,13.8,4
Bikes,ARIMA,920,"N(5, 2.7)",5,14.1,0,14.1,3.2
Bikes,ARIMA,921,"N(5, 2.8)",5,14.2,0,14.2,4
Bikes,ARIMA,922,"N(5, 2.8)",5,14.9,0,14.9,2.2
Bikes,ARIMA,923,"N(5, 2.9)",5,14.9,0,14.9,5
Bikes,ARIMA,924,"N(5, 2.9)",5,15.5,0,15.5,3.6
Bikes,ARIMA,925,"N(5, 2.9)",5,16,0,16.1,5.4
Bikes,ARIMA,926,"N(5, 3)",5,16.6,0,16.6,5
Bikes,ARIMA,927,"N(5, 3)",5,16.6,0,16.6,5
Bikes,ARIMA,928,"N(5, 3.1)",5,16.9,0,16.9,5.4
Bikes,ARIMA,929,"N(5, 3.1)",5,17.1,0,17.1,4
Bikes,ARIMA,930,"N(5, 3.2)",5,17.1,0,17.1,4.3
Bikes,ARIMA,931,"N(5, 3.2)",5,18.3,0,18.4,5.8
Bikes,ARIMA,932,"N(5, 3.3)",5,17.9,0,17.9,6.1
Bikes,ARIMA,933,"N(5, 3.3)",5,18.2,0,18.2,7.2
Bikes,ARIMA,934,"N(5, 3.4)",5,18.4,0,18.4,8.3
Bikes,ARIMA,935,"N(5, 3.4)",5,18.9,0,19,10.1
Bikes,ARIMA,936,"N(5, 3.5)",5,18.6,0,18.7,12.6
Bikes,ARIMA,937,"N(5, 3.5)",5,19.2,0,19.3,14
Bikes,ARIMA,938,"N(5, 3.6)",5,19,0,19.1,17.3
Bikes,ARIMA,939,"N(5, 3.6)",5,19.3,0,19.4,19.1
Bikes,ARIMA,940,"N(5, 3.7)",5,19.6,0,19.7,22.7
Bikes,ARIMA,941,"N(5, 3.7)",5,19.5,0,19.6,22.7
